,County,State,Total infections,Density,Public Transportation Usage
0,Autauga County,Alabama,2871893,35.85341899,0.000781893
1,Baldwin County,Alabama,9751057,50.54150356,0.002143436
2,Barbour County,Alabama,983791,11.24798121,0.003984064
3,Bibb County,Alabama,1144559,13.973114,0.004710145
4,Blount County,Alabama,2851498,34.51581642,0.001639344
5,Bullock County,Alabama,475274,6.41761955,0.003601441
6,Butler County,Alabama,922146,9.952770785,0.0
7,Calhoun County,Alabama,6084005,73.348688,0.002292827
8,Chambers County,Alabama,1550459,21.89263808,0.002527988
9,Cherokee County,Alabama,818383,18.0333283,0.005527638
10,Chilton County,Alabama,1842132,24.48066939,0.000866802
11,Choctaw County,Alabama,249429,5.526508604,0.0
12,Clarke County,Alabama,1417386,7.603131652,0.001747815
13,Clay County,Alabama,663867,8.552331345,0.000743494
14,Cleburne County,Alabama,650656,10.29735391,0.000717489
15,Coffee County,Alabama,2469979,29.16467291,0.000181901
16,Colbert County,Alabama,2606641,35.49694998,0.001155802
17,Conecuh County,Alabama,498349,5.682995171,0.0
18,Coosa County,Alabama,458558,6.438885282,0.005509642
19,Covington County,Alabama,1827503,13.99370346,0.002111189
20,Crenshaw County,Alabama,670463,8.792273306,0.000720721
21,Cullman County,Alabama,4201094,43.25267563,0.001257466
22,Dale County,Alabama,2269751,33.89312549,0.001218027
23,Dallas County,Alabama,1467657,15.79103338,0.002881844
24,DeKalb County,Alabama,3675024,35.37577983,0.000361729
25,Elmore County,Alabama,4264786,50.70144021,0.001680929
26,Escambia County,Alabama,1786843,15.24764898,0.003408607
27,Etowah County,Alabama,5736968,74.25054812,0.002589715
28,Fayette County,Alabama,876518,10.20180135,0.000660611
29,Franklin County,Alabama,1762598,19.21135615,0.002460025
30,Geneva County,Alabama,1164739,17.80431585,0.00039604
31,Greene County,Alabama,374637,5.028100131,0.010729614
32,Hale County,Alabama,902532,8.925557001,0.000810537
33,Henry County,Alabama,842951,11.76966574,0.000574713
34,Houston County,Alabama,4683928,69.48209266,0.001729306
35,Jackson County,Alabama,2844462,18.65848284,0.000677146
36,Jefferson County,Alabama,32568354,229.2513381,0.008999932
37,Lamar County,Alabama,615842,8.894097028,0.00686948
38,Lauderdale County,Alabama,3992566,53.51282236,0.002196099
39,Lawrence County,Alabama,1270211,18.54305046,0.002815768
40,Lee County,Alabama,6743546,101.2278644,0.008547009
41,Limestone County,Alabama,4264342,64.16149688,0.000789785
42,Lowndes County,Alabama,543135,5.520435979,0.004424779
43,Macon County,Alabama,658953,12.08354055,0.009491525
44,Madison County,Alabama,14590548,172.2275,0.001934002
45,Marengo County,Alabama,1002153,7.722101608,0.004576659
46,Marion County,Alabama,1369746,15.58520673,0.000347222
47,Marshall County,Alabama,5155981,64.92182299,0.003062583
48,Mobile County,Alabama,18725168,130.2299289,0.004830064
49,Monroe County,Alabama,834285,8.097965626,0.002957198
50,Montgomery County,Alabama,9945480,111.5782173,0.007097871
51,Morgan County,Alabama,6037340,79.38223066,0.002314815
52,Perry County,Alabama,429730,5.089327131,0.0
53,Pickens County,Alabama,950324,8.891346444,0.004457652
54,Pike County,Alabama,1334994,19.18998514,0.006071429
55,Randolph County,Alabama,826819,15.0131423,0.001209921
56,Russell County,Alabama,1852091,35.05587426,0.003290827
57,St. Clair County,Alabama,4309243,53.370584,0.00186096
58,Shelby County,Alabama,10364011,103.8590388,0.00182698
59,Sumter County,Alabama,412158,5.547014404,0.004761905
60,Talladega County,Alabama,3610462,42.21915736,0.006161532
61,Tallapoosa County,Alabama,1803285,21.89695846,0.001341832
62,Tuscaloosa County,Alabama,10376011,60.27841134,0.003829691
63,Walker County,Alabama,3103828,31.4801768,0.003211991
64,Washington County,Alabama,711906,5.948771806,0.0
65,Wilcox County,Alabama,506334,4.69736954,0.001351351
66,Winston County,Alabama,1212451,15.03833828,0.0
67,Apache County,Arizona,4388287,2.466163547,0.011631127
68,Cochise County,Arizona,4798914,7.909160031,0.005503993
69,Coconino County,Arizona,7030273,2.907730578,0.016557223
70,Gila County,Arizona,2860459,4.333306678,0.002285061
71,Graham County,Arizona,2250912,3.163771078,0.009943796
72,Greenlee County,Arizona,278063,1.992160031,0.0
73,La Paz County,Arizona,975907,1.776302238,0.003192338
74,Maricopa County,Arizona,220139589,178.541174,0.022589312
75,Mohave County,Arizona,9545408,5.977113496,0.006422509
76,Navajo County,Arizona,6586986,4.218261644,0.010749289
77,Pima County,Arizona,45201617,42.8548311,0.028234183
78,Pinal County,Arizona,21305250,30.20127807,0.002413208
79,Santa Cruz County,Arizona,3038256,14.54108112,0.003193961
80,Yavapai County,Arizona,8116932,10.67714706,0.004073823
81,Yuma County,Arizona,13964466,14.55270217,0.014383654
82,Arkansas County,Arkansas,940605,7.077235454,0.002542912
83,Ashley County,Arkansas,857506,8.568999577,0.001909612
84,Baxter County,Arkansas,1539089,28.71527107,0.004320372
85,Benton County,Arkansas,12151991,117.9774558,0.001130885
86,Boone County,Arkansas,1720368,24.40204536,0.0
87,Bradley County,Arkansas,579529,6.510797369,0.003811944
88,Carroll County,Arkansas,1218237,17.09180309,0.000359874
89,Chicot County,Arkansas,636823,6.48720534,0.013661202
90,Clark County,Arkansas,910882,9.979357949,0.004540868
91,Cleveland County,Arkansas,403470,5.313083763,0.006349206
92,Columbia County,Arkansas,970017,12.04300901,0.00040282
93,Conway County,Arkansas,922335,14.61617031,0.007907543
94,Craighead County,Arkansas,5926429,57.70123977,0.003138528
95,Crawford County,Arkansas,3002705,40.79968711,0.00198334
96,Crittenden County,Arkansas,2519893,31.00606806,0.003514938
97,Cross County,Arkansas,834925,10.64756188,0.001428571
98,Desha County,Arkansas,558977,5.974983295,0.000914286
99,Drew County,Arkansas,840830,8.623895565,0.0
100,Faulkner County,Arkansas,5476076,72.94679147,0.001596594
101,Fulton County,Arkansas,494756,7.581608118,0.004678363
102,Garland County,Arkansas,4423320,55.99985179,0.004226976
103,Grant County,Arkansas,766712,11.05241582,0.001312336
104,Hempstead County,Arkansas,835836,11.68517302,0.001768868
105,Hot Spring County,Arkansas,2179675,21.03703075,0.005723006
106,Howard County,Arkansas,691068,8.78324092,0.015873016
107,Independence County,Arkansas,1723183,18.83321817,0.0
108,Izard County,Arkansas,727464,9.017189389,0.0
109,Johnson County,Arkansas,1257791,15.38292036,0.00444664
110,Lafayette County,Arkansas,233455,5.053796893,0.004106776
111,Lincoln County,Arkansas,1225952,9.416005919,0.0
112,Little River County,Arkansas,544500,9.007542588,0.0
113,Logan County,Arkansas,981788,11.86296384,0.00539892
114,Lonoke County,Arkansas,3253803,36.16397177,0.001831502
115,Miller County,Arkansas,1801422,27.00125271,0.002790179
116,Mississippi County,Arkansas,2412544,18.36285781,0.000598444
117,Nevada County,Arkansas,366920,5.274363826,0.0
118,Newton County,Arkansas,327788,3.691189254,0.006802721
119,Ouachita County,Arkansas,980100,12.70141532,0.006965174
120,Phillips County,Arkansas,834068,10.56464774,0.000609292
121,Poinsett County,Arkansas,1376402,12.24652429,0.000441501
122,Polk County,Arkansas,833229,9.076778703,0.005633803
123,Pope County,Arkansas,3400173,30.24304863,0.001852881
124,Prairie County,Arkansas,372794,4.912934335,0.0
125,Pulaski County,Arkansas,16818166,200.1765891,0.010116969
126,St. Francis County,Arkansas,1449212,15.99262769,0.001125492
127,Saline County,Arkansas,5216718,62.97248504,0.001379437
128,Scott County,Arkansas,436205,4.518266116,0.002457002
129,Searcy County,Arkansas,334496,4.592572331,0.003372681
130,Sebastian County,Arkansas,6399608,92.52384261,0.00414174
131,Sevier County,Arkansas,1140087,11.74641335,0.001408451
132,Sharp County,Arkansas,751276,10.88689047,0.0
133,Stone County,Arkansas,467547,7.924463969,0.0
134,Union County,Arkansas,1650056,14.76172209,0.00125
135,Van Buren County,Arkansas,587094,9.076268141,0.0
136,White County,Arkansas,3582199,29.39513161,0.001968442
137,Woodruff County,Arkansas,289720,4.382376797,0.01026694
138,Yell County,Arkansas,1389715,8.954998447,0.003478261
139,Alameda County,California,35695328,860.7570749,0.142358002
140,Alpine County,California,33141,0.599280666,0.0
141,Amador County,California,1541504,24.56534526,0.000656007
142,Butte County,California,5883112,53.57515906,0.012428929
143,Calaveras County,California,992460,17.12260581,0.008440138
144,Colusa County,California,909909,7.201880119,0.003353829
145,Contra Costa County,California,28657017,610.1802904,0.103290324
146,Del Norte County,California,775491,10.52293111,0.007742704
147,El Dorado County,California,4546801,42.19958001,0.017204989
148,Fresno County,California,42503396,63.38567736,0.012971314
149,Glenn County,California,1211583,8.197380559,0.003451677
150,Humboldt County,California,2116420,14.69107797,0.019008767
151,Imperial County,California,11412161,16.65999073,0.009092499
152,Inyo County,California,587427,0.685856011,0.011131725
153,Kern County,California,43754546,41.92545231,0.009237233
154,Kings County,California,9569456,41.67726795,0.009255017
155,Lake County,California,1652721,19.71137641,0.007943925
156,Lassen County,California,2294453,2.651421461,0.008561644
157,Los Angeles County,California,477580584,960.7427779,0.065418525
158,Madera County,California,6900034,28.00789771,0.003150268
159,Marin County,California,5530026,193.1005061,0.097106463
160,Mariposa County,California,273838,4.674251881,0.018664752
161,Mendocino County,California,1954987,9.626461049,0.004911591
162,Merced County,California,12667978,53.67222176,0.010292235
163,Modoc County,California,227443,0.881376109,0.004451039
164,Mono County,California,511854,1.794895517,0.166223404
165,Monterey County,California,16626806,50.96841445,0.019735509
166,Napa County,California,3890941,72.50862772,0.014705236
167,Orange County,California,104235810,1541.02667,0.023890455
168,Placer County,California,10313825,104.2928314,0.012036753
169,Plumas County,California,368316,2.827868464,0.001947149
170,Riverside County,California,117231314,127.6881106,0.0133399
171,Sacramento County,California,44494037,603.8906191,0.027123387
172,San Benito County,California,2351270,16.52008807,0.005467682
173,San Bernardino County,California,115185345,41.10128555,0.015740008
174,San Diego County,California,114366289,302.9941503,0.029839043
175,San Francisco County,California,15605007,7168.190471,0.336164795
176,San Joaquin County,California,29984541,203.0389818,0.014272858
177,San Luis Obispo County,California,8673009,32.9240586,0.016282172
178,San Mateo County,California,16575122,659.1746544,0.100877193
179,Santa Barbara County,California,13599757,62.63967412,0.034369278
180,Santa Clara County,California,45796345,574.8383699,0.041395147
181,Shasta County,California,5889799,18.31466417,0.007230658
182,Sierra County,California,36636,1.186862083,0.0
183,Siskiyou County,California,1071674,2.677418441,0.006277743
184,Solano County,California,13424900,206.0444057,0.028235294
185,Sonoma County,California,12271497,122.8269245,0.01817839
186,Stanislaus County,California,25099534,139.1865627,0.009147599
187,Sutter County,California,3965815,61.43488729,0.009007816
188,Tehama County,California,2359618,8.296818814,0.003966505
189,Trinity County,California,190410,1.562009465,0.009803922
190,Tulare County,California,22151859,36.85265632,0.00747889
191,Tuolumne County,California,1881884,9.376087587,0.003879423
192,Ventura County,California,31555064,177.7279193,0.01328643
193,Yolo County,California,5812635,81.79800558,0.038748706
194,Yuba County,California,2790205,46.11910409,0.011990408
195,Adams County,Colorado,23263179,164.5753082,0.037524729
196,Alamosa County,Colorado,670466,8.78669511,0.000641026
197,Arapahoe County,Colorado,24018679,308.0717154,0.045980824
198,Archuleta County,Colorado,409184,3.691471259,0.000721371
199,Baca County,Colorado,129505,0.538428946,0.0
200,Bent County,Colorado,572185,1.482547663,0.0
201,Boulder County,Colorado,9175822,170.6435299,0.049833182
202,Broomfield County,Colorado,1918349,773.5251676,0.037006679
203,Chaffee County,Colorado,677736,7.301362223,0.001231527
204,Cheyenne County,Colorado,54434,0.442710949,0.0
205,Clear Creek County,Colorado,200899,9.163100806,0.015873016
206,Conejos County,Colorado,262180,2.441785257,0.001423488
207,Costilla County,Colorado,99279,1.159633689,0.0
208,Crowley County,Colorado,799488,2.760578135,0.0
209,Custer County,Colorado,94556,2.42546915,0.0
210,Delta County,Colorado,1143840,10.25862867,0.002730997
211,Denver County,Colorado,27901104,1746.533667,0.068069779
212,Dolores County,Colorado,50424,0.666073672,0.0
213,Douglas County,Colorado,11641312,151.0009727,0.019554189
214,Eagle County,Colorado,2453675,12.45931034,0.060440419
215,Elbert County,Colorado,719801,5.249033937,0.002014504
